sentiment,text,user
"neutral","RT @GEdwardsTwit: Science isn't your ally. Its job is to predict things even if you don't want them to happen, and explains things even if…","darthvadertube"
"positive","RT @BooksGS3: Don’t miss our Amazing November Sale Guide for Science Fiction &amp; Fantasy! https://t.co/VJeckmXjZl #amreading #sciencefiction…","tmr_paranormal"
"neutral","RT @ong_cafe: 옹녤 이스 SCIENCE https://t.co/vzfxuNn3HO","lunaluv8925"
"positive","RT @NintendoAmerica: Secretary Susie has a normal professional appearance, but fights gracefully with a variety of weapons! Look forward to…","dragonage2ftw"
"positive","@WashletJP @DocTiffy Science will make us all immortal and unbearably happy.","ThatDanRyan"
"positive","RT @L_Schifman: @ScienceWithIve @of_things_wild I also don't think you need a PhD or MS to work in science communication. I know excellent…","MarloWordyBird"
"negative","RT @REALpunknews: Neil deGrasse Tyson: ‘Science Says It Would Actually Take Approximately 25,920,000 Seconds to Get to Mars’ https://t.co/v…","Iam_TheNick"
"neutral","RT @FinsUpSailor: @CherylBozarth @CBCFAKENEWS @PlagueofProgs @Dfildebrandt You're relying on a \"science\" that \"adjusts\" and interpolates da…","PlagueofProgs"
"positive","RT @webmz_: A high school student asked me if she could still be a scientist if she wasn't doing well in her science classes.\n\nI told her s…","kjkjindal"
"neutral","RT @MikeTamir: How to Decide Which Data Science Projects to Pursue https://t.co/l3BUSRS2oF #AI #DeepLearning #MachineLearning #DataScience…","evakasch"
"negative","RT @TheUSASingers: Donald J. Trump has been made to look like a flaccid little baby dick by:\n\nRussia\nNorth Korea\nSaudi Arabia\nFinland\nMexic…","RhondaHooks0611"
"positive","RT @seenerl: @realDonaldTrump @FoxNews I can't wait till Judge Roberts presides over your impeachment trial.  Good job poking the hornet's…","REVIVALJEWELS1"
"neutral","@InaneDragon @Phoenix42505497 @remnantofisrae1 @AtheisticDragon @ConvertMe4 @Through_Science @AiG @JoeMDodd85 Jinks","AtheisticSnail"
"positive","‘Enough Is Enough’: Science, Too, Has a Problem With Harassment - The New York Times https://t.co/cfaMpbwVSQ","MonicaCesinger"
"positive","RT @diegoeh7: science major: *sees a science-related joke that takes a basic understanding of science, at most, to comprehend*\n\nscience maj…","IAmSimplyAda"
"neutral","It’s like he doesn’t understand science for the one millionth time https://t.co/EW6GaaQgfg","shandi0530"
"neutral","RT @SRFFoundation: In d \"Shiksakara Sammelena\" program held in Bangalore last week, we set up our stall along with Deenabandhu Trust to sho…","shakeb3265"
"positive","RT @ScholarOutreach: \"As Feynman said, 'reality must take precedence over public relations, for Nature cannot be fooled.'\"\n\nWe love this pi…","Emily_M_Holt"
"negative","I did not go to school as an environmental science major for the fucking president of the United States to spew shi… https://t.co/cpebLIpt7U","allie_crain"
"neutral","RT @NYTScience: The U.S. Navy once thought it was the ocean's bottom. What their acoustics were detecting was actually an enormous mass of…","mattinwpg"
"neutral","@micah_j22 Science lied to you 😉😉","jidohinojosa1"
"positive","RT @Source_Persil: @smh \"New course\" = more junk science.","Showthedogs"
"positive","RT @farrahsafiakhan: \"Can we stop saying we need to get girls into science. They love science what they don't like is what the see in the f…","MargaretAmy"
"neutral","理数科っていうだけで頭いいような感じになる。お得感。","Yaei_science"
"neutral","Dire warnings - and hope - from science fiction https://t.co/r35sxDmgrN","michaelhaupt"
"neutral","RT @tjoseph0010: 'Aryan' migration into India around 2000 BC is no longer a theory. A flood of DNA data settles the debate. My piece\nhttps:…","vasuvenugo"
"negative","Also, such a society would have a very hard time sustaining things like universities, schools, hospitals, museums, the arts, science, etc","yungneocon"
"positive","RT @McKelvie: Very cool but wish the first possible application wasn't \"silent war machines\": First ever plane with no moving parts takes f…","gregalor"
"positive","RT @diegoeh7: science major: *sees a science-related joke that takes a basic understanding of science, at most, to comprehend*\n\nscience maj…","geoffrey_t_"
"neutral","@EBatterson @BrendanFitton @zalphaprime @DoesnAbout @rmbctious @jools6691 @Cern_lXXl @c_element6 @Canna420Uk… https://t.co/X4RePuhaVe","TertiusIII"
"positive","Science: By living healthy, being a good person, communicating with others, challenging yourself, and trying to be… https://t.co/c51lujeoat","PIuimer"
"positive","RT @JesseWooten18: “This is not rocket science. Lock up criminals and they can't commit any more crimes. As a New York Times headline put i…","IanLanouette"
"neutral","RT @BrigitteRoussy: Prix du Qc 2018 : Quinze personnalités remarquables se sont vues attribuer la plus haute distinction accordée par le go…","NatMcNeil29"
"neutral","RT @dailybruin: Kaiya McCullough, a third-year political science student and @UCLAWSoccer defender, started a kneeling movement during the…","rech_alyse"
"positive","@JaylonMills2 @SelfCareMH @RyGuy176 I'd like to hear your explanation in detail. Consider first however the science… https://t.co/3XY31jNiO4","officermods"
"neutral","@Phoenix42505497 @remnantofisrae1 @InaneDragon @AtheisticSnail @ConvertMe4 @Through_Science @AiG @JoeMDodd85 With a… https://t.co/t45os7Es6h","AtheisticDragon"
