sentiment,text,user
"positive","RT @NASASun: We've received our first detailed report from #ParkerSolarProbe since its solar encounter! 📡\n\n✅ All systems are running as des…","samarian_alyssa"
"negative","@Locus_of_Ctrl Because Python data science is too annoying.","KirkegaardEmil"
"positive","@punjanapunjana That’s funny and also a little distressing because there are lots of laws about science and data","george_berry"
"neutral","@rachizzle_post @imwithdick @CityAttorneyLA You won’t find your “science” because it doesn’t exist. The data is hid… https://t.co/xqZPIDBibg","Heather_Poole"
"positive","RT @tara_msft: And if you could please share this Tweet &amp; survey link with your data science/ML friends that would be much appreciated 😎","iamukasa"
"positive","RT @IrisVanRooij: My 11-yr-old son asked to post this poll as a science experiment. He is very interested in this question &amp; hopes to have…","sjfotos"
"positive","RT @schmarzo: In what 6 ways does the #DataScience development process differ from #SoftwareDevelopment? Learn more @DataScienceCtrl. @Hita…","Sunilpatil"
"neutral","Deep Learning Prerequisites: Linear Regression in Python\n\n☞ https://t.co/hGZpu9elKA\n\n#DeepLearning https://t.co/WobQIWaaEX","tensorflow_guru"
"neutral","RT @vishvdeep18: “Python for data science : Part 3” \n#MachineLearning #ML #ArtificialIntelligence #AI #DataScience #DataScientists #DataSci…","machinelearn_d"
"neutral","@Madonnainohio @realDonaldTrump You do realize that Trump is ultimately in charge of the sources of the data mentio… https://t.co/OvY1e0fk3f","edhere"
"neutral","Data Science and Machine Learning for Managers and MBAs\n☞ https://t.co/NMXE8auBsD &amp;utm_campaign=101 \n#python… https://t.co/7hq9gEH9V5","Python_New"
"neutral","Deep Learning Prerequisites: Linear Regression in Python\n\n☞ https://t.co/YmrlAlCXVx\n\n#DeepLearning https://t.co/h8r9dcHsFz","tensorflow_tut"
"positive","RT @MMehai: Data collection day for our #foodscience personal #inquiries in #scienceclass today. Loving the ideas &amp; energy in the space thi…","PMSS_Science"
"positive","RT @IrisVanRooij: My 11-yr-old son asked to post this poll as a science experiment. He is very interested in this question &amp; hopes to have…","NollyMowels"
"positive","RT @eelrekab: One of the books in this month's free #datascience #ebooks is Putting all together : Essays on #Dataanalysis\"!  Well worth th…","barbarannott"
"positive","RT @upura0: データサイエンスに基づく最適なマリオカートのキャラクター：探索的データ分析→speedとaccelerationのパレート最適解を導出\n===\nThe best Mario Kart character according to data science…","ararabo"
"positive","@DownerJagFan That's fine, I'll go with the scientists who rely on data and not exaggerated claims designed to gain… https://t.co/zgWgPoaWni","LegalAmerican4"
"positive","RT @analyticbridge: 5 Free Data Science eBooks For Your Summer Reading List https://t.co/Eu1LRs4Ypt","divanshuarora"
"neutral","RT @ipfconline1: The 10 Statistical Techniques #DataScientists Need to Master\nhttps://t.co/Sh6c9Ukupw    by @james_aka_yale\n#DataScience #B…","Datascience__"
"negative","RT @engrizharulhaq: @AstronomerAmber @georgegalloway Well one laptop is more than enough for Astrophysics, Space science, Artificial Intell…","engrizharulhaq"
"neutral","@olxtecharg mirá toda esa cervezaaaaaaa * se vuelve experta en data science *","autochocadora"
"positive","RT @IrisVanRooij: My 11-yr-old son asked to post this poll as a science experiment. He is very interested in this question &amp; hopes to have…","ChengSoonOng"
"neutral","MSc Data Science | Study in the UK\n\nFor admission, Apply now:\n🔜 https://t.co/sASwf98YMI …\n☎ Tel: 0044-07590396484 (… https://t.co/R8e4OeRmSC","tostudentcare"
"neutral","@Heather_Poole @imwithdick @CityAttorneyLA Please, if you like I can give you an interview(done it before). I’m an… https://t.co/dWCz7mfyXV","rachizzle_post"
"neutral","RT @ipfconline1: The 10 Statistical Techniques #DataScientists Need to Master\nhttps://t.co/Sh6c9Ukupw    by @james_aka_yale\n#DataScience #B…","alecpett"
"neutral","RT @Ronald_vanLoon: There is an explosion of mobile data traffic, occurring from the corresponding rise of IoT and voice technology.\n\nMake…","FuryFoxtrot"
"positive","RT @liluzitard: Wow..... has science gone too far? Scientists at Harvard have used facial reconstruction and CRISPR technology to bring  ba…","WStouff"
"positive","RT @IrisVanRooij: My 11-yr-old son asked to post this poll as a science experiment. He is very interested in this question &amp; hopes to have…","Linda1892"
"positive","RT @SnapLogic: [Data sheet] SnapLogic Data Science is the first self-service solution that makes end-to-end machine learning accessible to…","machinelearn_d"
"neutral","RT @ssteingraber1: @TXsharon Science is a public servant. It isn’t done until findings are shared w the public and w our political leaders.…","kirkmurphy"
"neutral","RT @analyticbridge: Essential Math for Data Science https://t.co/vE8hpLTppi","pchalee"
"positive",".@uofcknes @WorldRowing @ABFitnessUnit @OBrien_IPH Thanks to @Coach_TessaV and @Renee_kokts for completing the data… https://t.co/r0NL55MOuT","KnowThyHealth"
"neutral","@carolcode Alguma recomendação pra Data Science? Comprei todos os cursos do Kirril Eremenko na Udemy e to pensando em pegar o da Udacity","kekathewitch"
"positive","RT @IrisVanRooij: My 11-yr-old son asked to post this poll as a science experiment. He is very interested in this question &amp; hopes to have…","maryellenwayne1"
"positive","RT @analyticbridge: 5 Free Data Science eBooks For Your Summer Reading List https://t.co/Eu1LRs4Ypt","pchalee"
"neutral","Maybe data science stream tonight????","nickwan"
"positive","One drop of sperm has 37.5MB of DNA info in it. That means a normal ejaculation represents a data transfer of 1587GB in about 3 seconds.","WorId_Science"
"positive","RT @IrisVanRooij: My 11-yr-old son asked to post this poll as a science experiment. He is very interested in this question &amp; hopes to have…","sajitmmathews"
"neutral","RT @ukpoliscidept: Two former grad students are digging into 2018 data on 2,000 campaign stops in 17 states to study where candidates hold…","TravisNTaylorLA"
"positive","@G_S_Yang @MicrobiomDigest Good question: either way, I think we should do our best to educate the next generation… https://t.co/Ym0CRkRW1t","slime_lauro"
"neutral","RT @TiffanyTimbers: Calling all #datascience #rstats instructors - I am designing a pre- &amp; post-test to assess prior knowledge for my upcom…","Krista_BH"
"neutral","RT @ipfconline1: The 10 Statistical Techniques #DataScientists Need to Master\nhttps://t.co/Sh6c9Ukupw    by @james_aka_yale\n#DataScience #B…","DME_Health"
"positive","RT @IrisVanRooij: My 11-yr-old son asked to post this poll as a science experiment. He is very interested in this question &amp; hopes to have…","BionicMicki"
"neutral","@dan613 @CentralFLBoy @RJinBaltimore @priscian @caerbannog666 @6lennybravo @maralago_ @ApafarkasAgmand @RoyPentland… https://t.co/8otTI9oqNX","LynnyontheFly"
"positive","Top 10 Reasons To Learn Data Science &amp; Get Highest Salary\n\nhttps://t.co/UhpjmRYm4u https://t.co/UhpjmRYm4u","sda_eom"
"positive","This is a great resource for analyzing verbal autopsy data. https://t.co/xDsU1UCZKW","datta_science"
"neutral","RT @analyticbridge: 25 Timeless Data Science Articles https://t.co/T7ysyfsujb","pchalee"
"neutral","REMINDER: Are you a Graduate (to be) in IT, Computer Science, Data Analytics or related studies? @Dominos_AU is loo… https://t.co/cjcgWGvrk4","DigitalBne"
"neutral","RT @ipfconline1: The 10 Statistical Techniques #DataScientists Need to Master\nhttps://t.co/Sh6c9Ukupw    by @james_aka_yale\n#DataScience #B…","sqeezeBTC"
"neutral","RT @rubenjromo: D61 #100daysofcode This is my exams week in the university but I still find a spare time to code, today I was working with…","_30days30sites"
"positive","RT @IrisVanRooij: My 11-yr-old son asked to post this poll as a science experiment. He is very interested in this question &amp; hopes to have…","JUVerastegui"
"neutral","RT @ipfconline1: The 10 Statistical Techniques #DataScientists Need to Master\nhttps://t.co/Sh6c9Ukupw    by @james_aka_yale\n#DataScience #B…","TechNowOrNever"
"positive","@nature somehow able to claim that they, and not the scientists, are the ones that accept science. You aren’t accep… https://t.co/weSauXw26D","marshall5912"
"positive","RT @IrisVanRooij: My 11-yr-old son asked to post this poll as a science experiment. He is very interested in this question &amp; hopes to have…","NicoBaldoma"
"positive","RT @SnapLogic: [Data sheet] SnapLogic Data Science is the first self-service solution that makes end-to-end machine learning accessible to…","robbyb0y0"
"positive","[Data sheet] SnapLogic Data Science is the first self-service solution that makes end-to-end machine learning acces… https://t.co/KwrVKn4oxU","SnapLogic"
"neutral","RT @ipfconline1: The 10 Statistical Techniques #DataScientists Need to Master\nhttps://t.co/Sh6c9Ukupw    by @james_aka_yale\n#DataScience #B…","KalavatCreative"
"positive","RT @IrisVanRooij: My 11-yr-old son asked to post this poll as a science experiment. He is very interested in this question &amp; hopes to have…","HaileyHuffines"
"positive","RT @schmarzo: In what 6 ways does the #DataScience development process differ from #SoftwareDevelopment? Learn more @DataScienceCtrl. @Hita…","piyushrsingh"
"neutral","RT @analyticbridge: 25 Timeless Data Science Articles https://t.co/T7ysyfsujb","petersunny6789"
"positive","RT @wesmckinn: I enjoyed speaking with @hugobowne for the Dataframed podcast, I hope you'll give it a listen! https://t.co/EROraHpeiX","venturidb"
"positive","RT @IainLJBrown: UGA launches undergraduate degree in data science\n\nRead more here: https://t.co/9wMWPPgGCq\n\n#DataScience #MachineLearning…","GullFerrara"
"neutral","RT @vallens: Integrating 1 million MERFISH cells with 30,000 scRNA-seq cells using scVI (data from https://t.co/gOldaHUi7n) https://t.co/Zx…","AntoineBesnard3"
"neutral","RT @bobehayes: 50 #DataScience Twitter Influencers to Follow in 2018 | @Cognilytica https://t.co/9ZN3enXySv\n\nincludes: @AndrewYNg @bigdata…","nancyrubin"
"positive","RT @cygnus_ww: The @lofar Two metre Sky Survey (LoTSS) first data release papers have landed on the arXiv today. 3 release description pape…","CosmoCa3sar"
"neutral","The 10 Statistical Techniques #DataScientists Need to Master\nhttps://t.co/Sh6c9Ukupw    by @james_aka_yale… https://t.co/8SfwRR4vLb","ipfconline1"
